id,kind,name,lat,lng,alias_count
geonames:13353696,city,港区,35.6581,139.7515,3
geonames:13405661,city,Minamidaito,25.82987,131.23234,1
geonames:13665120,city,Ajiharacho,34.66712,135.52815,1
geonames:1847947,city,新宮市,33.73333,135.98333,3
geonames:1847963,city,厚木市,35.44272,139.36931,3
geonames:1847966,city,明石市,34.65524,135.00687,3
geonames:1847968,city,逗子,35.29483,139.57812,2
geonames:1847983,city,善通寺町,34.22699,133.77791,2
geonames:1848004,city,座間市,35.4879,139.39101,3
geonames:1848007,city,ざいしょ,25.83158,131.23039,2
geonames:1848015,city,湯沢町,36.93804,138.81331,3
geonames:1848016,city,遊佐,39.01573,139.92909,2
geonames:1848019,city,ゆやま,32.32872,131.05477,2
geonames:1848028,city,檮原,33.38333,132.91667,2
geonames:1848049,city,由良宿,35.48333,133.75,2
geonames:1848055,city,下呂市,35.8,137.23333,2
geonames:1848057,city,湯尾,35.79324,136.19614,2
geonames:1848062,city,湯前町,32.28333,130.98333,2
geonames:1848087,city,行橋市,33.72873,130.983,3
geonames:1848096,city,結城市,36.3,139.88333,3
geonames:1848113,city,湯河原町,35.15,139.06667,2
geonames:1848124,city,湯泊,30.2347,130.47942,2
geonames:1848131,city,湯浅町,34.03686,135.18041,2
geonames:1848143,city,四辻,35.53333,135.1,2
geonames:1848169,city,吉野町,34.39611,135.85768,2
geonames:1848173,city,Yoshino,33.31667,133.13333,1
geonames:1848188,city,吉川,35.89232,139.84184,2
geonames:1848194,city,Yoshii,36.25,138.98333,1
geonames:1848210,city,吉田春日町,37.68333,138.88333,2
geonames:1848243,city,寄居,36.11567,139.19429,2
geonames:1848244,city,Yorii,33.96667,134.35,1
geonames:1848254,city,中央区,35.88333,139.63333,2
geonames:1848266,city,与那国,24.46667,123,2
geonames:1848277,city,米子市,35.43333,133.33333,3
geonames:1848281,city,与那原町,26.20437,127.75267,2
geonames:1848305,city,横田,35.75,139.38333,2
geonames:1848313,city,横須賀市,35.28361,139.66722,3
geonames:1848329,city,三渓,33.93333,134.48333,2
geonames:1848354,city,横浜市,35.43333,139.65,5
geonames:1848358,ward,横川,35.70484,139.8156,2
geonames:1848373,city,四日,34.96667,136.61667,2
geonames:1848375,city,四日市,33.53537,131.32808,3
geonames:1848382,city,八日市市,35.11626,136.19768,2
geonames:1848439,city,八幡市,34.87009,135.7027,3
geonames:1848445,city,八代市,32.50439,130.59952,3
geonames:1848447,city,八尾町東葛坂,36.56667,137.13333,2
geonames:1848482,city,安来町,35.42146,133.24224,2
geonames:1848487,city,安田町,33.43563,133.98501,2
geonames:1848498,city,Yashiro,34.91667,134.96667,1
geonames:1848499,city,八潮,35.82255,139.83905,3
geonames:1848518,city,八百津,35.46667,137.15,2
geonames:1848522,city,八尾市,34.61667,135.6,3
geonames:1848534,city,魚梁瀬,33.62066,134.11267,2
geonames:1848546,city,柳津町,37.52416,139.72167,2
geonames:1848550,city,柳井,33.96667,132.11667,2
geonames:1848573,city,柳川市,33.16667,130.4,3
geonames:1848593,city,大和高田,34.51667,135.75,2
geonames:1848603,city,大和浜,28.36077,129.39413,2
geonames:1848618,city,山下,33.56554,133.70284,2
geonames:1848633,city,山崎町中広瀬,35,134.55,2
geonames:1848667,city,山北町,35.36344,139.07975,2
geonames:1848689,city,山口市,34.18333,131.46667,3
geonames:1848705,city,山鹿市,33.01667,130.68911,2
geonames:1848717,city,土佐山田町中野,33.6,133.68333,2
geonames:1848764,city,矢掛町,34.62849,133.59237,2
geonames:1848774,city,焼津市,34.86877,138.31952,3
geonames:1848776,city,矢板市,36.8,139.93333,3
geonames:1848778,city,弥彦,37.7,138.83333,2
geonames:1848825,city,Yae,34.68333,132.53333,1
geonames:1848852,city,養父市,35.40304,134.77118,2
geonames:1848859,city,八橋,35.5,133.68333,2
geonames:1848932,city,和木町,34.2,132.21667,2
geonames:1848933,city,脇町,34.06667,134.15,2
geonames:1848935,city,和気町,34.81156,134.14264,2
geonames:1848949,city,若桜町,35.33333,134.4,2
geonames:1848976,city,輪島崎町,37.40458,136.89912,2
geonames:1848979,city,和食,33.52205,133.81144,2
